folio	formula_type	n_tokens	ch_pct	ok_pct	ot_pct	cthol_n	cthal_n	ee_pct	coverage	plant_id	confidence
f45v	TYPE-B	85	0.1176	0.1176	0.0824	0	0	0.0	1.0	UNIDENTIFIED	
f46r	PLAIN-AMBIG	163	0.184	0.0736	0.0307	0	0	0.0736	0.9939	UNIDENTIFIED	
f46v	TYPE-B	111	0.2072	0.1261	0.0811	0	0	0.0631	1.0	UNIDENTIFIED	
f47r	PLAIN-AMBIG	76	0.3421	0.0658	0.0263	0	0	0.0263	1.0	UNIDENTIFIED	
f47v	PLAIN-AMBIG	85	0.3882	0.0	0.0941	0	0	0.0941	1.0	UNIDENTIFIED	
f48r	TYPE-B	89	0.0787	0.0899	0.1348	0	0	0.1348	0.9888	UNIDENTIFIED	
f48v	HIGH-OT	128	0.1562	0.0781	0.1562	0	0	0.1172	1.0	UNIDENTIFIED	
f49r	PLAIN-AMBIG	114	0.3158	0.0175	0.0702	0	0	0.0614	1.0	UNIDENTIFIED	
f49v	WARM	169	0.3314	0.0414	0.0414	1	0	0.0592	0.9349	UNIDENTIFIED	
f50r	TYPE-B	93	0.086	0.1828	0.0538	0	0	0.0645	0.9892	UNIDENTIFIED	
f50v	TYPE-B	100	0.12	0.25	0.05	0	0	0.07	1.0	UNIDENTIFIED	
f51r	TYPE-B	89	0.0674	0.1124	0.0899	0	0	0.0674	1.0	UNIDENTIFIED	
f51v	TYPE-B	82	0.1341	0.1098	0.0854	0	0	0.061	1.0	UNIDENTIFIED	
f52r	COLD	69	0.058	0.1304	0.1449	0	0	0.058	1.0	artemisia	PROBABLE
f52v	PLAIN-AMBIG	78	0.1923	0.0513	0.0513	0	0	0.1026	1.0	UNIDENTIFIED	
f53r	TYPE-B	60	0.15	0.0833	0.2333	0	0	0.05	0.9833	UNIDENTIFIED	
f53v	WARM	73	0.0822	0.0548	0.0685	1	0	0.0822	1.0	ephedra	PROBABLE
f54r	PLAIN-AMBIG	110	0.1455	0.0545	0.0273	0	0	0.0273	0.9909	UNIDENTIFIED	
f54v	WARM	93	0.1828	0.1075	0.0108	1	0	0.0323	1.0	UNIDENTIFIED	
f55r	COLD	124	0.1452	0.1855	0.0403	0	0	0.0403	1.0	UNIDENTIFIED	
f55v	TYPE-B	105	0.1333	0.1524	0.0476	0	0	0.0857	1.0	UNIDENTIFIED	
f56r	WARM	103	0.3981	0.0583	0.068	1	0	0.0777	1.0	UNIDENTIFIED	
f56v	PLAIN-AMBIG	91	0.2857	0.044	0.0879	0	0	0.1319	1.0	UNIDENTIFIED	
f57r	TYPE-B	87	0.2184	0.1264	0.023	0	0	0.1609	1.0	UNIDENTIFIED	
